Kod,Komponent (box),Samband (pil),Beskrivning,Trend,Tillförlitlighet av kunskapen,Exempel på källor,Granskare,Kommentar,type,from_node,to_node,from_node_corrected,to_node_corrected
1,Klimatförändingar,,"Det globala klimatet och dess vädermönster  förändras mot varmare och mer nederbörd och mer extremväder (effekter på salthalt, vågor, strömmar, temperatur, pH) vilket påverkar marina organismer och havets användare.","Ökar i helhet, olika effekter kan öka eller minska",Säker,"1. Sammanfattning i Morf et al. 2024 C2B2 D1.1, kapitel 4 Climate change and its impacts on Swedish Seas 2. IPCC (globalt),  3. BACC (Östersjön)",AM/ML,Finns ett bra kapitel om temat i D1.1 med relevanta referenser.,Node,,,,
D 1.1-1,,Klimat - Marin miljö,Ändringar i artsamman-sättning samt kemiska och fysikaliska förhållanden…,Negativ,Säker,"1. https://interactive-atlas.ipcc.ch, https://helcom.fi/baltic-sea-climate-change-fact-sheet-new-publication-shows-latest-scientific-knowledge-on-climate-change-in-the-baltic-sea/",ML,"Salthalt, respiration, pH, mm",Edge,Klimat,Marin miljö,Klimat,Marin miljö
D 1.1-2,,Klimat - Pelagiskt fiskbestånd,Förändringar i temperatur och salthalt förändrat livsvillkor för pelagisk fisk,Minskar,Tämligen säkert,1. https://www.naturvardsverket.se/amnesomraden/klimatforandringar/klimatet-i-framtiden/effekter-i-sverige/konsekvenser-for-den-areella-sektorn/,EE,,Edge,Klimat,Pelagiskt fiskbestånd,Klimat,Pelagiskt fiskbestånd
D 1.1-3,,Klimat - Födoväv,Ändringar i utbredning av arter ger ändrade föresvävar,Fortsatt ökande,Tämligen säkert,1. https://helcom.fi/baltic-sea-climate-change-fact-sheet-new-publication-shows-latest-scientific-knowledge-on-climate-change-in-the-baltic-sea/,ML?,,Edge,Klimat,Födoväv,Klimat,Födoväv
D 1.1-4,,Klimat - Vattenbruk,Extrema väderhändelser och klimatförändringar kan påverka havsbruk,Negativ,Osäker,1. Sühring et al 2023. Effects of storms on fisheries and aquaculture: An Icelandic case study on climate change adaptation. https://www.tandfonline.com/doi/epdf/10.1080/15230430.2023.2269689?needAccess=true. 2. Brander et al (2017) Climate Change Implications for Fisheries and Aquaculture https://doi.org/10.1002/9781119154051.ch3. 3. FAO Fisheries and Aquaculture Technical Paper. No. 530 Climate change implications for fisheries and aquaculture: Overview of current scientific knowledge. https://www.fao.org/4/i0994e/i0994e00.htm,ML,,Edge,Klimat,Vattenbruk,Klimat,Vattenbruk
D 1.1-5,,Klimat - Fiske,Extrema väderhändelser och klimatförändringar kan påverka fisket,Negativ,Osäker,1. Sühring et al 2023. Effects of storms on fisheries and aquaculture: An Icelandic case study on climate change adaptation. https://www.tandfonline.com/doi/epdf/10.1080/15230430.2023.2269689?needAccess=true. 2. Brander et al (2017) Climate Change Implications for Fisheries and Aquaculture https://doi.org/10.1002/9781119154051.ch3. 3. FAO Fisheries and Aquaculture Technical Paper. No. 530 Climate change implications for fisheries and aquaculture: Overview of current scientific knowledge. https://www.fao.org/4/i0994e/i0994e00.htm,ML,,Edge,Klimat,Fiske,Klimat,Fiske
D 1.1-6,,Klimat - Behov av energiproduktion,Klimatförändring ökar behov av fossilfri energi,Ökar,Tämligen säkert,Regeringens mål för energipolitiken. https://www.regeringen.se/regeringens-politik/sveriges-elforsorjning/mal-for-energipolitiken/,ML,,Edge,Klimat,Behov av energiproduktion,Klimat,Behov av energiproduktion
D 1.1-7,,Klimat - Sjöfart,"Klimatförändring innebär förändringar i nederbörd, vindmönster, stormar, isbildning på fartyg påverkar trafiken. Istäckning minskar framkomlighet och ökar olycksrisk.",Ökar,Tämligen säkert,"1. Ceder, V. et al (2024). The impact of wind farms on winter navigation. Report: 2024-10-22, Chalmers University of Technology, Department of Mechanics and Maritime Sciences Division of Marine Technology, Gothenburg. https://research.chalmers.se/en/publication/543462 2. Rapport D1.1 kap 4 (Climate effects), kap 6 (Activities: Shipping)",MP/AM,,Edge,Klimat,Sjöfart,Klimat,Sjöfart
2,Marin miljö i dåligt skick,,"Den marina miljön är i dåligt skick, från många olika perspektiv, både när det gäller 2.1 biologisk mångfald, 2.2 födoväv och 2.3 resiliens. ","Olika trender, baserat på aspekt",,"Trendöversikt: HELCOM-HOLAS (Östersjön), OSPAR QSR (Västerhavet/Nordsjön), rapportering till EU i samband med havsmiljö- och vattendirektivet. Kap 5. Deliverable 1.1","ML, AM",,Node,,,,
,This row should be ignored,,,,,,,,Node,,,,
