id,label,description,source,target,trend,reliability,references,reviewers,comments,organisation,mandate
1,Klimatförändingar,"Det globala klimatet och dess vädermönster  förändras mot varmare och mer nederbörd och mer extremväder (effekter på salthalt, vågor, strömmar, temperatur, pH) vilket påverkar marina organismer och havets användare. ",,,positive,high,"1. Sammanfattning i Morf et al. 2024 C2B2 D1.1, kapitel 4 Climate change and its impacts on Swedish Seas 2. IPCC (globalt), 3. BACC (Östersjön)",AM/ML,Finns ett bra kapitel om temat i D1.1 med relevanta referenser.,, 
1-1,Ändringar i artsamman-sättning & kemiska & fysikaliska förhållanden,Ändringar i artsamman-sättning samt kemiska och fysikaliska förhållanden…,1,2,negative,high,"1. https://interactive-atlas.ipcc.ch, https://helcom.fi/baltic-sea-climate-change-fact-sheet-new-publication-shows-latest-scientific-knowledge-on-climate-change-in-the-baltic-sea/",ML,"Salthalt, respiration, pH, mm",,
1-2,Förändringar i temperatur och salthalt,Förändringar i temperatur och salthalt förändrat livsvillkor för pelagisk fisk,1,2.5,negative,medium,1. https://www.naturvardsverket.se/amnesomraden/klimatforandringar/klimatet-i-framtiden/effekter-i-sverige/konsekvenser-for-den-areella-sektorn/,EE,,,
1-3,Ändringar i utbredning av arter ger ändrade föresvävar,Ändringar i utbredning av arter ger ändrade föresvävar,1,,negative,medium,1. https://helcom.fi/baltic-sea-climate-change-fact-sheet-new-publication-shows-latest-scientific-knowledge-on-climate-change-in-the-baltic-sea/,ML?,,,
1-4,Extrema väderhändelser och klimatförändringar kan påverka havsbruk,Extrema väderhändelser och klimatförändringar kan påverka havsbruk,1,,negative,high,1. Sühring et al 2023. Effects of storms on fisheries and aquaculture: An Icelandic case study on climate change adaptation. https://www.tandfonline.com/doi/epdf/10.1080/15230430.2023.2269689?needAccess=true. 2. Brander et al (2017) Climate Change Implications for Fisheries and Aquaculture https://doi.org/10.1002/9781119154051.ch3. 3. FAO Fisheries and Aquaculture Technical Paper. No. 530 Climate change implications for fisheries and aquaculture: Overview of current scientific knowledge. https://www.fao.org/4/i0994e/i0994e00.htm,ML,,,
1-5,Extrema väderhändelser och klimatförändringar kan påverka fisket,Extrema väderhändelser och klimatförändringar kan påverka fisket,1,,negative,high,1. Sühring et al 2023. Effects of storms on fisheries and aquaculture: An Icelandic case study on climate change adaptation. https://www.tandfonline.com/doi/epdf/10.1080/15230430.2023.2269689?needAccess=true. 2. Brander et al (2017) Climate Change Implications for Fisheries and Aquaculture https://doi.org/10.1002/9781119154051.ch3. 3. FAO Fisheries and Aquaculture Technical Paper. No. 530 Climate change implications for fisheries and aquaculture: Overview of current scientific knowledge. https://www.fao.org/4/i0994e/i0994e00.htm,ML,,,
1-6,Förebyggande av klimatförändringen ökar behovet av fossilfri energi,Motverkande/förebyggande av klimatförändringen kräver en minskning av koldioxidutsläpp och ett ökat behov av fossilfri energi (Climate smart societal transformation),1,,positive,medium,Regeringens mål för energipolitiken. https://www.regeringen.se/regeringens-politik/sveriges-elforsorjning/mal-for-energipolitiken/,ML,,,
1-7,"Klimatförändringen (väder & isbildning)  påverkar trafiken (risker, framkomlighet)","Klimatförändring innebär förändringar i nederbörd, vindmönster, stormar, isbildning på fartyg påverkar trafiken. Istäckning minskar framkomlighet och ökar olycksrisk.",1,7,positive,medium,"1. Ceder, V. et al (2024). The impact of wind farms on winter navigation. Report: 2024-10-22, Chalmers University of Technology, Department of Mechanics and Maritime Sciences Division of Marine Technology, Gothenburg. https://research.chalmers.se/en/publication/543462 2. Rapport D1.1 kap 4 (Climate effects), kap 6 (Activities: Shipping)",MP/AM,,,
1-8,Sportfisket kan påverkas negativt av ändrat väder och klimat,Negativ påverkan på sportfiske genom ….?,1,,positive,high,,EE,Tillagt från LL west 12/5,,
2,Marin miljö i dåligt skick,"Den marina miljön är i dåligt skick, från många olika perspektiv, både när det gäller 2.1 biologisk mångfald, 2.2 födoväv och 2.3 resiliens. ",,,,unknown,"Trendöversikt: HELCOM-HOLAS (Östersjön), OSPAR QSR (Västerhavet/Nordsjön), rapportering till EU i samband med havsmiljö- och vattendirektivet. Kap 5. Deliverable 1.1","ML, AM", ,,
2-1,Ekosystemtjänster till marina användare förändras,Många olika typer av ekosystemtjänster till de olika marina användare minskar i kvalitet och tillförlitlighet,,,,high,Se EST analyser,AM,"Pilen är än så länge bara en markering, kan behöva brytas upp. Bör relateras till problem och trender i ekosystemet. Tillägg LLWest 2025-05-12 (JSC, HaV)",,
2.2-1,Minskad biologisk mångfald ökar känsligheten,Minskad biologisk mångfald ökar känsligheten,,,negative,high,"1. Lindegren, Martin, et al. ""Resilience and stability of a pelagic marine ecosystem."" Proceedings of the Royal Society B: Biological Sciences 283.1822 (2016): 20151931.","SM, ML",,,
2.2-2,Minskad mångfald ändrar systemets funktion,Minskad mångfald ändrar systemets funktion,,,negative,medium,"1. Thébault, E., & Loreau, M. (2006). The relationship between biodiversity and ecosystem functioning in food webs. Ecological Research, 21(1), 17-25. 2. Reiss, J., Bridle, J. R., Montoya, J. M., & Woodward, G. (2009). Emerging horizons in biodiversity and ecosystem functioning research. Trends in ecology & evolution, 24(9), 505-514.","SM, ML",,,
2.4,Populationer av topp-predatorer är hög/ökar,Framför allt knubbsäl och skarv har ökat under de senaste decennierna.,,,positive,medium,1. Svensk fågeltaxering. https://www.fageltaxering.lu.se/resultat/populationstrender-enskilda-arter. 2. Knubbsäl: Sveriges vattenmiljö https://www.sverigesvattenmiljo.se/karta#6/58.229/16.458/0/all/all/466/178-1/466,ML,"Kan säkert variera mellan olika områden, perioder och arter. Bland annat ",, 
2.4.1,Knubbsäl, ,,,positive,high,Lundström et al. (2025) Sälars roller i ekosystem och påverkan på fisk.https://pub.epsilon.slu.se/36300/1/lundstrom-k-et-al-20250123.pdf,ML,,,
2.4.2,Pigghaj, ,,,positive,high,Studie om pigghaj?,ML,,,
2.4.3,Skarv, ,,,positive,high,"1. Lundström et al (2023) Storskarvens (Phalacrocorax carbo) ekologi, roll i ekosystemet och effekter på fiskbestånd. Sammanställning av kunskap och kunskapsbehov. 2. Lundström et al (2025). Storskarv i Sverige - predations- och födosöksstudier (2025). https://pub.epsilon.slu.se/36386/1/lundstrom-k-et-al-20250131.pdf",ML,,,
2.4.2-1,Predatorer livnär sig på bentiska fiskpopulationer,Predatorer livnär sig på bentiska fiskpopulationer,2.4.2,2.6,negative,unknown,"1. www.globalbioticinteractions.org 2. Gračan, R. et al.  (2017). Feeding ecology and trophic segregation of two sympatric mesopredatory sharks in the heavily exploited coastal ecosystem of the Adriatic Sea. Journal of fish biology, 90(1), 167-184. 3. Sea, S. E. B. (2001). Age, Growth, Reproduction and Feeding of the Spurdog (Squalus acanthias Linnaeus, 1758) in the. Estuarine, Coastal and Shelf Science, 52, 269-278.",SM,"SM: Sambandet skulle inte vara ett problem om systemet vore i balans; problemet är att fiskbestånden är små (bland annat på grund av överfiske!), vilket ökar konkurrensen mellan fisket och naturliga predatorer",,
2.4.2-2,Predatorer livnär sig på pelagiska fiskpopulationer,Predatorer livnär sig på pelagiska fiskpopulationer,2.4.2,2.5,negative,unknown,"1. www.globalbioticinteractions.org 2. Gračan, R. et al.  (2017). Feeding ecology and trophic segregation of two sympatric mesopredatory sharks in the heavily exploited coastal ecosystem of the Adriatic Sea. Journal of fish biology, 90(1), 167-184. 3. Sea, S. E. B. (2001). Age, Growth, Reproduction and Feeding of the Spurdog (Squalus acanthias Linnaeus, 1758) in the. Estuarine, Coastal and Shelf Science, 52, 269-278.",SM,"SM: Sambandet skulle inte vara ett problem om systemet vore i balans; problemet är att fiskbestånden är små (bland annat på grund av överfiske!), vilket ökar konkurrensen mellan fisket och naturliga predatorer",,
2.5,Pelagiskt fiskbestånd,Fiskbeståndet i vattenpelaren som sill och makrill,,,negative,medium,"ICES rapporter, Morf et al. 2024 C2B2 D1.1, kapitel 6.5",AM,,,
2.5-1,Dåliga fångster & olönsamhet,Dåliga fångster & olönsamhet,2.5,3.2,negative,medium,"1. Atmore, L. M. et al. (2024). The Once and Future Fish: 1300 years of Atlantic herring population structure and demography revealed through ancient DNA and mixed-stock analysis. bioRxiv, 2024-07. 2. Hamilton, L., Otterstad, O., & Ögmundardóttir, H. (2006). Rise and fall of the herring towns: impacts of climate and human teleconnections. In Climate Change and the Economics of the World’s Fisheries. Edward Elgar Publishing.",SM,Beror på fiskarten! Sillbeståndet har minskat kraftigt men inte nödvändigtvis andra pelagiska arter,,
2.5-2,Minskning av central födovävskomponent,Minskning av central födovävskomponent,2.5,,negative,medium,"1. Pauly, D. et al. (1998). Fishing down marine food webs. Science, 279(5352), 860-863.",SM,,,
2.6,Bottenfiskbestånd,Bottenlevande fiskarter som torsk och plattfisk,,,negative,medium,"ICES rapporter, Morf et al. 2024 C2B2 D1.1, kapitel 6.5",AM,,,
2.6-1,Färre eftertraktade sorter av matfisk,Färre eftertraktade sorter av matfisk,2.6,,negative,medium,"1. M. Casini et al. 2005. Trends in cpue and related changes in spatial distribution of demersal fish species in the Kattegat and Skagerrak, eastern North Sea, between 1981 and 2003, ICES Journal of Marine Science, Volume 62, Issue 4, 2005, Pages 671–682, https://doi.org/10.1016/j.icesjms.2004.12.018",SM,Beror på fiskarten! Torskbeståndet t.ex. har minskat kraftigt men inte andra arter som en del plattfiskar,,
2.6-2,Minskning av födovävskomponent,Minskning av födovävskomponent,2.6,,negative,medium,"1. Pauly, D. et al. (1998). Fishing down marine food webs. Science, 279(5352), 860-863.",SM,,,,,,,,,unknown,,,,,
2.1,Art- och miljöskydd samt implementering,Baserat på politiska mål och lagstiftning  och implementering därav har skyddet av arter och miljön under de senaste åren ökat. ,,,positive,high,"1. Politiska mål på internationell nivå: EU lagstiftning (Havsmiljödirektivet, Habitatdirektivet mm.) & globala överenskommelser (Biodiversitetskonventionen, 30by30 mfl). 2. Politiska mål samt Miljöbalken och relaterade förordningar på nationell nivå 3. Genomförande och genomdrivande genom marina skyddsområden och andra åtgärder på land och i vatten hos olika havsanvändare",ML/AM,"Under de senaste åren har på alla nivåer (globalt, havsområden, nationellt och kommunalt) olika typer av mål, regelverk och åtgärder introducerats och håller på att genomföras och genomdrivas. Tillägg LLWest 2025-05-12 (JSC, HaV)",HaV JSC,"Myndighetsmandat inom havsmiljöförvaltning (HaV, LST, kommuner)"
2.1-1,Habitat- och artskydd leder till populationstillväxt,"Aktivt skyddsarbete, tex genom habitat- och artskydd leder till populationstillväxt. Detta innebär tex. en aktiv naturförvaltning genom myndigheter genom marint områdesskydd och åtgärdsarbete",2.1,2.4,positive,medium,1. Nationell förvaltningsplan för knubbsäl (2012). Havs och Vattenmyndigheten. https://www.havochvatten.se/arter-och-livsmiljoer/arter-och-naturtyper/knubbsal.html .                                                                                                                   2. Nationell förvaltningsplan för storskarv (2023). https://www.naturvardsverket.se/om-oss/regeringsuppdrag/slutredovisade-regeringsuppdrag/uppdrag-om-storskarv. 3. Pigghajen är ansedd som hotad men har under senare år förekommit is tora antal och fångstkvoterna har bärför ökats. https://www.fiskbarometern.se/rapport/2024/species/Pigghaj,ML/AM/EE,"Under de senaste åren har på alla nivåer (globalt, havsområden, nationellt och kommunalt) olika typer av mål, regelverk och åtgärder introducerats och håller på att genomföras och genomdrivas. Skydd av sälar och andra topp-predatotrer via jaktförbud mm är positiva för artens fortbestånd men kan i vissa fall påverka fiskbestånd på ett negativt sätt. Målkonflikt? Tillägg LLWest 2025-05-12 (Martin Rosander)",HaV JSC,"Myndighetsmandat inom havsmiljöförvaltning (HaV, LST, kommuner)"
3,Fiske,Fisket är en användarsektor med en mångfald av olika fartygs- och redskapstyper och målarter. För att diskutera problem och lösningar kan analysen behöver detaljeras ytterligare.,,,,unknown, ,AM,Kan behövas fler källor för västerhavet specifikt,,Förhandlingsberedskap behövs
3.1,Storskaligt fiske,"Storskaligt fiske (stora båtar, stora redskap)",,,negative,high,1. https://balticwaters.org/faktabanken/faktablad-8-antalet-yrkesfiskare-minskar/,EE,,,
